candle_id,start_time,stop_time,session_time,start_temp,stop_temp,start_rh,stop_rh,start_dp,stop_dp,session_id
1,2022-02-20 12:12:00,2022-02-20 15:12:00,3,70.5,74.1,42.8,39.9,46.8,48.2,1
1,2022-02-21 12:16:00,2022-02-21 15:18:00,3,75.5,82,50.4,39,56,54.6,2
1,2022-02-22 20:19:00,2022-02-22 23:18:00,3,73.1,76.8,45.1,40.7,50.6,51.1,3
1,2022-02-23 21:33:00,2022-02-23 23:58:00,2.4,67.2,68,37.2,32.3,40.2,37.3,4
1,2022-02-24 20:59:00,2022-02-25 0:15:00,3.3,67.8,68.5,36,29.9,39.8,35.8,5
1,2022-02-28 11:15:00,2022-02-28 14:01:00,2.8,66.6,75.4,36.1,30.8,38.9,42.5,6
1,2022-03-03 21:02:00,2022-03-04 0:06:00,3.1,76.3,81.9,41,35.7,51,52.1,7
1,2022-03-07 20:24:00,2022-03-07 23:36:00,3.2,73.3,77.1,41.3,36.6,48.4,48.5,8
1,2022-03-11 20:45:00,2022-03-11 23:59:00,3.2,68.2,74.5,39.7,31.8,42.8,42.5,9
1,2022-03-15 20:52:00,2022-03-16 0:06:00,3.2,75.3,82.7,41.4,34.1,50.2,51.6,10
1,2022-03-18 20:34:00,2022-03-19 0:18:00,3.7,75.2,82.7,42.1,33.8,50.6,51.3,11
1,2022-03-28 14:34:00,2022-03-28 17:03:00,2.5,76.4,81,44.7,35.7,53.3,51.3,12
1,2022-04-08 15:12:00,2022-04-08 17:57:00,2.7,75,84.5,40.2,31,49.2,50.6,13
1,2022-04-25 20:22:00,2022-04-25 23:47:00,3.4,74.2,82.8,56.5,44.6,57.8,59.1,14
1,2022-04-26 19:49:00,2022-04-26 22:22:00,2.5,73.8,82.4,53,42.5,55.6,57.3,15
2,2022-05-20 19:34:00,2022-05-20 23:59:00,4.4,72,75.6,48.3,43.1,51.4,51.6,16
2,2022-05-30 16:00:00,2022-05-30 18:29:00,2.5,72.1,74.1,43.5,38,48.6,46.9,17
2,2022-06-01 20:43:00,2022-06-02 0:32:00,3.8,70,72.4,46,43.2,48.3,48.8,18
2,2022-07-04 12:41:00,2022-07-04 16:48:00,4.1,69.7,75.7,51.6,38,51.1,48.3,19
2,2022-07-05 20:15:00,2022-07-05 23:35:00,3.3,71.3,73.3,38.9,39.1,44.9,47,20
